Vardas     Pavarde    ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas1 Pavarde1 5 6 9 1 1 9
Vardas2 Pavarde2 5 8 4 5 4 7
Vardas3 Pavarde3 10 3 3 1 1 7
Vardas4 Pavarde4 7 1 3 5 9 4
Vardas5 Pavarde5 4 10 3 2 6 4
Vardas6 Pavarde6 10 8 8 8 1 1
Vardas7 Pavarde7 9 3 4 5 8 1
Vardas8 Pavarde8 2 9 1 2 1 6
Vardas9 Pavarde9 5 7 6 3 6 10
Vardas10 Pavarde10 2 4 6 5 9 3
Vardas11 Pavarde11 1 4 4 6 9 8
Vardas12 Pavarde12 5 3 10 10 1 5
Vardas13 Pavarde13 3 2 9 3 4 8
Vardas14 Pavarde14 1 7 8 6 7 10
Vardas15 Pavarde15 10 1 2 4 2 5
Vardas16 Pavarde16 10 6 3 10 3 10
Vardas17 Pavarde17 3 1 10 10 6 3
Vardas18 Pavarde18 9 4 4 10 5 3
Vardas19 Pavarde19 5 3 2 7 3 5
Vardas20 Pavarde20 8 5 9 10 2 9
Vardas21 Pavarde21 10 5 6 10 7 9
Vardas22 Pavarde22 9 10 10 4 4 1
Vardas23 Pavarde23 3 9 6 4 10 5
Vardas24 Pavarde24 10 3 3 9 6 7
Vardas25 Pavarde25 4 10 6 6 3 3
Vardas26 Pavarde26 7 8 6 1 5 1
Vardas27 Pavarde27 8 8 9 9 7 10
Vardas28 Pavarde28 6 1 6 5 10 4
Vardas29 Pavarde29 6 10 10 6 5 9
Vardas30 Pavarde30 4 4 7 10 7 2
Vardas31 Pavarde31 4 1 6 2 7 9
Vardas32 Pavarde32 8 4 9 4 9 1
Vardas33 Pavarde33 3 10 4 8 10 4
Vardas34 Pavarde34 9 3 6 8 10 5
Vardas35 Pavarde35 2 8 2 10 2 5
Vardas36 Pavarde36 2 7 1 3 5 5
Vardas37 Pavarde37 3 10 4 2 8 4
Vardas38 Pavarde38 2 6 6 4 1 2
Vardas39 Pavarde39 2 5 5 5 7 7
Vardas40 Pavarde40 3 10 1 9 10 2
Vardas41 Pavarde41 1 4 2 3 7 3
Vardas42 Pavarde42 10 9 9 10 8 10
Vardas43 Pavarde43 9 2 2 2 1 9
Vardas44 Pavarde44 10 4 7 3 4 5
Vardas45 Pavarde45 2 10 6 4 2 10
Vardas46 Pavarde46 3 3 6 6 5 7
Vardas47 Pavarde47 7 5 4 9 2 1
Vardas48 Pavarde48 2 8 8 2 1 4
Vardas49 Pavarde49 4 2 7 10 10 1
Vardas50 Pavarde50 10 5 3 7 10 5
Vardas51 Pavarde51 10 8 10 1 3 10
Vardas52 Pavarde52 4 4 5 2 9 6
Vardas53 Pavarde53 2 8 3 9 7 8
Vardas54 Pavarde54 1 6 3 9 7 2
Vardas55 Pavarde55 7 8 9 5 7 2
Vardas56 Pavarde56 9 6 7 9 10 2
Vardas57 Pavarde57 5 6 7 9 4 8
Vardas58 Pavarde58 7 10 2 2 9 2
Vardas59 Pavarde59 1 8 10 1 9 10
Vardas60 Pavarde60 3 7 2 9 7 1
Vardas61 Pavarde61 9 5 2 5 8 8
Vardas62 Pavarde62 1 7 1 3 1 8
Vardas63 Pavarde63 10 6 6 2 7 1
Vardas64 Pavarde64 1 5 4 10 1 1
Vardas65 Pavarde65 7 3 4 7 3 8
Vardas66 Pavarde66 7 10 1 3 9 10
Vardas67 Pavarde67 7 4 4 6 6 7
Vardas68 Pavarde68 7 10 5 10 4 2
Vardas69 Pavarde69 4 9 4 6 5 6
Vardas70 Pavarde70 5 10 1 7 6 10
Vardas71 Pavarde71 8 5 9 10 4 6
Vardas72 Pavarde72 8 5 1 4 10 2
Vardas73 Pavarde73 4 2 10 5 6 9
Vardas74 Pavarde74 7 2 6 2 4 10
Vardas75 Pavarde75 7 2 7 7 8 4
Vardas76 Pavarde76 5 4 4 9 5 10
Vardas77 Pavarde77 5 9 1 3 5 6
Vardas78 Pavarde78 7 4 9 8 3 1
Vardas79 Pavarde79 6 6 9 5 9 2
Vardas80 Pavarde80 1 1 9 7 6 3
Vardas81 Pavarde81 3 4 8 5 9 3
Vardas82 Pavarde82 1 4 6 9 6 8
Vardas83 Pavarde83 4 4 9 6 1 1
Vardas84 Pavarde84 3 1 6 2 3 1
Vardas85 Pavarde85 1 3 3 7 10 2
Vardas86 Pavarde86 5 9 2 7 5 7
Vardas87 Pavarde87 10 5 1 5 9 6
Vardas88 Pavarde88 10 2 2 5 4 1
Vardas89 Pavarde89 10 10 10 9 5 3
Vardas90 Pavarde90 7 1 10 7 4 1
Vardas91 Pavarde91 4 3 8 8 4 3
Vardas92 Pavarde92 1 8 4 7 6 2
Vardas93 Pavarde93 5 5 9 6 9 5
Vardas94 Pavarde94 3 8 5 2 4 2
Vardas95 Pavarde95 7 4 1 9 3 2
Vardas96 Pavarde96 2 8 4 7 7 6
Vardas97 Pavarde97 2 4 8 1 10 1
Vardas98 Pavarde98 4 9 6 7 7 9
Vardas99 Pavarde99 2 5 1 10 6 4
Vardas100 Pavarde100 2 6 3 4 1 9
Vardas101 Pavarde101 7 4 7 2 4 1
Vardas102 Pavarde102 5 5 5 1 8 7
Vardas103 Pavarde103 10 3 5 1 3 9
Vardas104 Pavarde104 10 10 8 7 6 7
Vardas105 Pavarde105 5 4 9 1 2 6
