Vardas     Pavarde    ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas1 Pavarde1 6 9 5 6 8 10
Vardas2 Pavarde2 7 8 9 6 2 8
Vardas3 Pavarde3 2 4 5 10 1 6
Vardas4 Pavarde4 2 3 9 5 4 7
Vardas5 Pavarde5 9 8 3 6 1 4
Vardas6 Pavarde6 1 9 9 5 5 4
Vardas7 Pavarde7 9 2 4 2 5 3
Vardas8 Pavarde8 7 5 4 9 3 10
Vardas9 Pavarde9 1 2 1 2 8 2
Vardas10 Pavarde10 6 8 1 4 9 2
Vardas11 Pavarde11 6 4 10 6 5 7
Vardas12 Pavarde12 10 1 4 2 5 2
Vardas13 Pavarde13 1 3 1 10 5 2
Vardas14 Pavarde14 7 1 4 2 1 5
Vardas15 Pavarde15 3 10 10 10 5 9
Vardas16 Pavarde16 1 6 9 8 1 5
Vardas17 Pavarde17 4 1 2 10 1 9
Vardas18 Pavarde18 1 9 9 4 5 9
Vardas19 Pavarde19 1 5 4 3 5 4
Vardas20 Pavarde20 9 4 5 5 7 6
Vardas21 Pavarde21 8 2 2 8 4 8
Vardas22 Pavarde22 8 8 1 5 10 3
Vardas23 Pavarde23 1 3 6 8 9 10
Vardas24 Pavarde24 7 3 5 4 4 7
Vardas25 Pavarde25 8 3 7 2 9 9
Vardas26 Pavarde26 2 2 10 4 10 7
Vardas27 Pavarde27 1 8 5 9 4 2
Vardas28 Pavarde28 7 5 8 9 9 4
Vardas29 Pavarde29 6 10 4 1 8 9
Vardas30 Pavarde30 5 10 9 9 9 1
Vardas31 Pavarde31 10 2 7 5 7 3
Vardas32 Pavarde32 7 9 6 4 2 3
Vardas33 Pavarde33 5 4 3 7 9 3
Vardas34 Pavarde34 7 3 8 7 3 6
Vardas35 Pavarde35 9 1 8 4 2 9
Vardas36 Pavarde36 4 3 7 9 5 8
Vardas37 Pavarde37 2 9 6 5 6 10
Vardas38 Pavarde38 9 7 5 3 9 7
Vardas39 Pavarde39 4 10 1 6 6 5
Vardas40 Pavarde40 4 6 2 1 10 9
Vardas41 Pavarde41 2 6 1 8 9 8
Vardas42 Pavarde42 5 8 3 3 8 3
Vardas43 Pavarde43 8 4 4 8 9 5
Vardas44 Pavarde44 1 5 5 5 1 1
Vardas45 Pavarde45 4 2 2 8 10 4
Vardas46 Pavarde46 1 7 2 9 7 6
Vardas47 Pavarde47 1 9 3 6 10 7
Vardas48 Pavarde48 3 1 10 10 2 10
Vardas49 Pavarde49 5 8 10 5 5 7
Vardas50 Pavarde50 8 9 6 10 6 9
Vardas51 Pavarde51 4 9 9 10 2 2
Vardas52 Pavarde52 2 6 2 1 7 6
Vardas53 Pavarde53 6 2 1 10 2 5
Vardas54 Pavarde54 7 10 3 10 2 1
Vardas55 Pavarde55 10 6 5 8 2 1
Vardas56 Pavarde56 5 5 4 9 6 10
Vardas57 Pavarde57 9 10 4 5 8 8
Vardas58 Pavarde58 1 2 2 10 6 6
Vardas59 Pavarde59 5 4 1 1 3 7
Vardas60 Pavarde60 4 7 3 10 9 2
Vardas61 Pavarde61 4 2 8 9 3 2
Vardas62 Pavarde62 9 8 5 9 5 7
Vardas63 Pavarde63 5 2 10 3 4 7
Vardas64 Pavarde64 10 5 3 2 7 2
